name,domain,mx,grade,dmarc_policy,dmarc_pct,dmarc_reporting,spf_mode,dkim_found,note,spf,dmarc
Alamance-Burlington Schools,abss.k12.nc.us,True,ENFORCED_REJECT,reject,100,no,LOOKUP_FAILED,"s1,s2",SPF lookup timed out (rerun to confirm),,v=DMARC1;p=reject;sp=reject;pct=100;adkim=r;aspf=r;fo=1
Alexander County Schools,alexander.k12.nc.us,True,ENFORCED_QUARANTINE,quarantine,100,yes,softfail (~all),google,,v=spf1 include:_spf.google.com include:_spf.bbnotify.net ~all,v=DMARC1; p=quarantine; rua=mailto:technology@alexander.k12.nc.us;
Alleghany County Schools,alleghany.k12.nc.us,True,PARTIAL,quarantine,5,yes,softfail (~all),google,policy quarantine applied to only 5% of mail,v=spf1 include:_spf.google.com ~all,v=DMARC1; p=quarantine; pct=5; rua=mailto:brendan.oneil@alleghany.k12.nc.us
Anson County Schools,ansonschools.org,True,ENFORCED_REJECT,reject,100,yes,hardfail (-all),google,,v=spf1 include:spf.gaggle.net include:_spf.google.com -all,v=DMARC1; p=reject; adkim=s; aspf=s; pct=100; rua=mailto:technology@anson.k12.nc.us; fo=1
Ashe County Schools,ashe.k12.nc.us,True,ENFORCED_REJECT,reject,100,yes,LOOKUP_FAILED,"google,selector1",SPF lookup timed out (rerun to confirm),,v=DMARC1; p=reject; adkim=s; aspf=s;pct=100; rua=mailto:dmarc@ashe.k12.nc.us; ruf=mailto:dmarc@ashe.k12.nc.us; fo=1;
Asheboro City Schools,asheboro.k12.nc.us,True,ENFORCED_QUARANTINE,quarantine,100,yes,hardfail (-all),google,,v=spf1 include:_spf.google.com include:mg.infinitecampus.org -all,v=DMARC1;p=quarantine;rua=mailto:administrator@asheboro.k12.nc.us;adkim=s;aspf=s
Asheville City Schools,ashevillecityschools.net,True,ENFORCED_REJECT,reject,100,yes,LOOKUP_FAILED,google,SPF lookup timed out (rerun to confirm),,v=DMARC1; p=reject; sp=none; rua=mailto:alerts@acsgmail.net; rf=afrf; pct=100; ri=86400
Avery County Schools,averyschools.net,True,ENFORCED_QUARANTINE,quarantine,100,yes,softfail (~all),google,,v=spf1 include:_spf.google.com include:spf.gaggle.net ip4:152.26.9.9 ~all,v=DMARC1; p=quarantine; pct=100; rua=mailto:dmarc@averyschools.net
Beaufort County Schools,beaufort.k12.nc.us,True,NO_DMARC,NONE,,,hardfail (-all),google,,v=spf1 include:spf.gaggle.net include:spf.protection.outlook.com -all,
Bertie County Schools,bertie.k12.nc.us,True,NO_DMARC,NONE,,,softfail (~all),none of common selectors,,v=spf1 include:spf.schoolwires.net include:_spf.google.com ~all,
Bladen County Schools,bladen.k12.nc.us,True,ENFORCED_QUARANTINE,quarantine,100,yes,hardfail (-all),google,,v=spf1 include:_spf.google.com include:spf.schoolwires.net include:sendgrid.net -all,v=DMARC1;p=quarantine;rua=mailto:tsrvs@bladen.k12.nc.us;ruf=mailto:tsrvs@bladen.k12.nc.us;fo=1;pct=100;adkim=s;aspf=s
Brunswick County Schools,bcswan.net,True,ENFORCED_REJECT,reject,100,yes,LOOKUP_FAILED,google,SPF lookup timed out (rerun to confirm),,v=DMARC1; p=reject; rua=mailto:dmarcreports@bcswan.net;
Buncombe County Schools,bcsemail.org,True,PARTIAL,quarantine,75,yes,softfail (~all),"google,s1,s2",policy quarantine applied to only 75% of mail,v=spf1 include:_spf.google.com include:sendgrid.net ~all,"v=DMARC1; p=quarantine; pct=75; rua=mailto:dmarc@bcsemail.org,mailto:dmarc@bcsemail.org"
Burke County Schools,burke.k12.nc.us,True,ENFORCED_QUARANTINE,quarantine,100,yes,hardfail (-all),google,,v=spf1 include:_spf.bbnotify.net include:spf.gaggle.net include:_spf.google.com -all,v=DMARC1; p=quarantine; rua=mailto:dmarc@burke.k12.nc.us;
Cabarrus County Schools,cabarrus.k12.nc.us,True,MONITOR_ONLY,none,100,no,LOOKUP_FAILED,selector1,SPF lookup timed out (rerun to confirm),,v=DMARC1; p=none
Caldwell County Schools,caldwellschools.com,True,ENFORCED_REJECT,reject,100,yes,LOOKUP_FAILED,google,SPF lookup timed out (rerun to confirm),,v=DMARC1; p=reject; pct=100; ruf=mailto:ross+dmarcf@caldwellschools.com; rua=mailto:ross+dmarc@caldwellschools.com; adkim=r; aspf=r
Camden County Schools,ccsnc.org,True,ENFORCED_QUARANTINE,quarantine,100,yes,softfail (~all),"google,s1,s2",,v=spf1 include:sendgrid.net include:spf.gaggle.net include:_spf.google.com ~all,v=DMARC1; p=quarantine; pct=100; rua=mailto:dmarc@ccsnc.org
Carteret County Public Schools,carteretcountyschools.org,True,NO_DMARC,NONE,,,softfail (~all),google,,v=spf1 include:_spf.google.com ~all,
Caswell County Schools,caswell.k12.nc.us,True,NO_DMARC,NONE,,,softfail (~all),none of common selectors,,v=spf1 include:_spf.google.com include:spf.schoolwires.net ~all,
Catawba County Schools,catawbaschools.net,True,ENFORCED_REJECT,reject,100,yes,LOOKUP_FAILED,google,SPF lookup timed out (rerun to confirm),,"v=DMARC1; p=reject; pct=100; rua=mailto:ccsadmin@ccsk12.net, mailto:marty_sharpe@catawbaschools.net"
Chapel Hill-Carrboro City Schools,chccs.org,True,NO_DMARC,NONE,,,softfail (~all),none of common selectors,,v=spf1 +mx +a +ip4:162.241.216.152 +include:bluehost.com ~all,
Charlotte-Mecklenburg Schools,cms.k12.nc.us,True,ENFORCED_QUARANTINE,quarantine,100,yes,LOOKUP_FAILED,selector1,SPF lookup timed out (rerun to confirm),,"v=DMARC1; p=quarantine; rua=mailto:postmaster@cms.k12.nc.us,mailto:dmarc_agg@vali.email; ruf=mailto:postmaster@cms.k12.nc.us; fo=0; adkim=r; aspf=r;"
Chatham County Schools,chatham.k12.nc.us,True,ENFORCED_REJECT,reject,100,yes,softfail (~all),"google,k1,s1,s2",,v=spf1 ip4:66.150.0.0/25 ip4:206.127.26.0/25 ip4:207.207.37.168/29  include:zarca-inc.com include:servers.mcsv.net include:_spf.google.com include:sendgrid.net ~all,v=DMARC1; p=reject; rua=mailto:dmarc@chathamschools.uriports.com
Cherokee County Schools,cherokee.k12.nc.us,True,ENFORCED_QUARANTINE,quarantine,100,no,LOOKUP_FAILED,google,SPF lookup timed out (rerun to confirm),,v=DMARC1; p=quarantine; pct=100
Clay County Schools,clayschools.org,True,ENFORCED_QUARANTINE,quarantine,100,yes,softfail (~all),google,,v=spf1 include:mailgun.org include:_spf.google.com ~all,v=DMARC1; p=quarantine; rua=mailto:dmarc-reports@clayschools.org;
Cleveland County Schools,clevelandcountyschools.org,True,ENFORCED_QUARANTINE,quarantine,100,yes,softfail (~all),google,,v=spf1 include:_spf.google.com ~all,v=DMARC1;p=quarantine;sp=quarantine;rua=mailto:dmarc@clevelandcountyschools.org;pct=100;adkim=s;aspf=s
Clinton City Schools,clinton.k12.nc.us,True,ENFORCED_REJECT,reject,100,yes,hardfail (-all),"google,s1,s2,smtp",,v=spf1 ip4:161.38.195.253 ip4:168.245.17.251 include:_spf.google.com include:mg.infinitecampus.org -all,v=DMARC1;p=reject;sp=reject;rua=mailto:technology@clinton.k12.nc.us;ruf=mailto:technology@clinton.k12.nc.us;fo=1;pct=100;adkim=s;aspf=s
Columbus County Schools,columbus.k12.nc.us,True,ENFORCED_REJECT,reject,100,yes,LOOKUP_FAILED,selector2,SPF lookup timed out (rerun to confirm),,"v=DMARC1; p=reject; sp=reject; pct=100; rua=mailto:re+entlupkbck9@dmarc.postmarkapp.com,mailto:DMARC@columbus.k12.nc.us; aspf=s; adkim=s"
Craven County Board of Education,cravenk12.org,True,ENFORCED_QUARANTINE,quarantine,100,yes,hardfail (-all),google,,v=spf1 ip4:152.26.85.181 include:_spf.google.com include:_spf.bbnotify.net -all,v=DMARC1; p=quarantine; rua=mailto:dmarc@cravenk12.org
Cumberland County Schools,ccs.k12.nc.us,True,ENFORCED_REJECT,reject,100,yes,LOOKUP_FAILED,google,SPF lookup timed out (rerun to confirm),,v=DMARC1; p=reject; sp=reject; adkim=s; aspf=s; pct=100; rua=mailto:dmarc@ccs.k12.nc.us; fo=1; ri=86400
Currituck County Schools,currituck.k12.nc.us,True,ENFORCED_QUARANTINE,quarantine,100,yes,softfail (~all),google,,v=spf1 ip4:152.26.9.64/26 include:_spf.google.com include:spf_target.brightarrow.com ~all,v=DMARC1; p=quarantine; rua=mailto:tech-admin@currituck.k12.nc.us;
Dare County Schools,daretolearn.org,True,ENFORCED_QUARANTINE,quarantine,100,yes,softfail (~all),google,,v=spf1 include:_spf.google.com ip4:152.26.20.7 ~all,v=DMARC1;p=quarantine;pct=100;rua=mailto:dmarcadmin@daretolearn.org;ruf=mailto:dmarcadmin@daretolearn.org;ri=86400;aspf=r;adkim=r;fo=1
