name,domain,mx,grade,dmarc_policy,dmarc_pct,dmarc_reporting,spf_mode,dkim_found,note,spf,dmarc
Andrews,andrewsnc.gov,True,ENFORCED_QUARANTINE,quarantine,100,no,hardfail (-all),none of common selectors,,v=spf1 include:spf.protection.outlook.com -all,v=DMARC1; p=quarantine; pct=100
Aurora,auroranc.org,True,NO_DMARC,NONE,,,softfail (~all),none of common selectors,,v=spf1 a mx include:websitewelcome.com ~all,
Bethel,townofbethelnc.com,True,ENFORCED_QUARANTINE,quarantine,100,no,hardfail (-all),none of common selectors,,v=spf1 include:spf.protection.outlook.com -all,v=DMARC1; p=quarantine;
Bridgeton,townofbridgeton.org,True,ENFORCED_QUARANTINE,quarantine,100,yes,softfail (~all),none of common selectors,,v=spf1 include:_spf-usg2.ppe-hosted.com include:secureserver.net ~all,v=DMARC1; p=quarantine; adkim=r; aspf=r; rua=mailto:dmarc_rua@onsecureserver.net;
Carteret County Public Schools,carteretk12.org,True,NO_DMARC,NONE,,,softfail (~all),google,,v=spf1 include:mailgun.org include:_spf.google.com include:spf.gaggle.net ~all,
Cedar Rock,wpcog.org,True,ENFORCED_QUARANTINE,quarantine,100,yes,hardfail (-all),selector1,,v=spf1 ip4:74.254.113.126 include:spf.protection.outlook.com include:spf.cloud.mip.com -all,v=DMARC1; p=quarantine; rua=mailto:dmarc@wpcog.org;
Chapel Hill-Carrboro City Schools,chccs.k12.nc.us,True,ENFORCED_REJECT,reject,100,yes,LOOKUP_FAILED,none of common selectors,SPF lookup timed out (rerun to confirm),,v=DMARC1; p=reject; rua=mailto:v5txwlpr@ag.us.dmarcian.com; ruf=mailto:v5txwlpr@fr.us.dmarcian.com; fo=0:1:d:s; adkim=r; aspf=r;
Clarkton,townofclarktonnc.com,True,NO_DMARC,NONE,,,hardfail (-all),none of common selectors,,v=spf1 include:spf.protection.outlook.com -all,
Clayton,townofclaytonnc.org,True,MONITOR_ONLY,none,100,no,hardfail (-all),"selector2,k1",,v=spf1 IP4:24.106.195.146 IP4:64.28.200.66 IP4:70.62.99.2 ip4:172.99.114.23 include:amazonses.com include:spf.protection.outlook.com include:49643693.spf04.hubspotemail.net -all,v=DMARC1; p=none;
Cleveland,clevelandnc.org,True,NO_DMARC,NONE,,,hardfail (-all),default,,v=spf1 include:spf.protection.outlook.com -all,
