name,domain,mx,grade,dmarc_policy,dmarc_pct,dmarc_reporting,spf_mode,dkim_found,note,spf,dmarc
Aberdeen,townofaberdeen.net,True,ENFORCED_QUARANTINE,quarantine,100,yes,hardfail (-all),selector1,,v=spf1 ip4:24.106.184.226 include:spf.protection.outlook.com -all,v=DMARC1; p=quarantine; rua=mailto:dmarc@townofaberdeen.net; ruf=mailto:dmarc@townofaberdeen.net; fo=1; pct=100
Ahoskie,ahoskienc.gov,True,NO_DMARC,NONE,,,hardfail (-all),none of common selectors,,v=spf1 include:spf.protection.outlook.com -all,
Alamance,villageofalamance.com,True,MONITOR_ONLY,none,100,no,hardfail (-all),"selector1,selector2",,v=spf1 ip4:35.212.110.145 include:spf.protection.outlook.com -all,v=DMARC1; p=none; aspf=r; adkim=r;
Albemarle,albemarlenc.gov,True,ENFORCED_REJECT,reject,100,yes,softfail (~all),none of common selectors,,v=spf1 include:spf.protection.outlook.com include:_spf.google.com include:_spf.psm.knowbe4.com include:spf-us.appmail.granicusgovaccess.net ~all,v=DMARC1; p=reject; rua=mailto:icsytme3@ag.us.dmarcian.com; ruf=mailto:icsytme3@fr.us.dmarcian.com;
Alliance,alliancenc.gov,True,MONITOR_ONLY,none,100,no,NONE,none of common selectors,no SPF record either,,v=DMARC1; p=none
Andrews,andrewsnc.org,True,MONITOR_ONLY,none,100,no,NONE,default,no SPF record either,,v=DMARC1; p=none;
Angier,angier.org,True,ENFORCED_QUARANTINE,quarantine,100,yes,hardfail (-all),none of common selectors,,v=spf1 mx a ip4:24.159.160.168/32 include:spf.protection.outlook.com -all,v=DMARC1; p=quarantine; sp=quarantine; rua=mailto:postmaster@harnett.org; ruf=mailto:postmaster@harnett.org; rf=afrf; pct=100; ri=86400
Ansonville,townofansonville.gov,True,NO_DMARC,NONE,,,NONE,none of common selectors,no SPF record either,,
Apex,apexnc.org,True,MONITOR_ONLY,none,100,no,hardfail (-all),none of common selectors,,v=spf1 ip4:96.10.1.173 ip4:96.10.1.162 include:spf.protection.outlook.com include:_spf_useast2.prod.hydra.sophos.com include:_spf_uswest2.prod.hydra.sophos.com -all,v=DMARC1; p=none;
Archdale,archdale-nc.gov,True,ENFORCED_REJECT,reject,100,yes,hardfail (-all),selector2,,v=spf1 ip4:74.124.168.170 include:spf.protection.outlook.com include:res.cisco.com +a +mx -all,v=DMARC1; p=reject; pct=100; rua=mailto:_it@archdale-nc.gov; ruf=mailto:_it@archdale-nc.gov; fo=1
Archer Lodge,archerlodgenc.gov,True,NO_DMARC,NONE,,,hardfail (-all),selector2,,v=spf1 include:spf.protection.outlook.com -all,
